
08:59AM HST on Nov 12, 2018
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 65.0 %
Temp: 28.0 C Humidity: 64.0 %
Temp: 28.0 C Humidity: 64.0 %
Temp: 28.0 C Humidity: 64.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 64.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 64.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 64.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 64.0 %
Temp: 28.0 C Humidity: 64.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 27.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 14.0 C Humidity: 159.0 %
Temp: 28.0 C Humidity: 63.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 27.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 14.0 C Humidity: 159.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 14.0 C Humidity: 159.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
Temp: 28.0 C Humidity: 62.0 %
